PLAYER_ID,FirstName,LastName,Wins,Losses,PreviousWins,PreviousLosses,PlayerWinPercent,Points,Rebounds,Assists,Steals,Blocks,MissedFieldGoals,MissedFreeThrows,TurnOvers
1627741,Buddy,Hield,26,49,28,19,0.347,15.5,4.3,2.7,0.9,0.3,8,0.2,1.8
1629604,CJ,Elleby,17,34,23,30,0.333,5.5,3.8,1.4,0.6,0.3,3,0.4,1
203468,CJ,McCollum,24,31,10,16,0.436,22.4,4.5,5.2,1.1,0.4,10.3,0.7,2
101139,CJ,Miles,1,0,43,17,1,0,0,0,0,0,0,0,0
1630595,Cade,Cunningham,18,41,1,3,0.305,17.2,5.7,5.6,1.2,0.7,9.4,0.4,3.6
1628997,Caleb,Martin,34,23,42,18,0.596,9.2,3.9,1.1,1,0.5,3.3,0.4,0.8
1629629,Cam,Reddish,20,29,3,2,0.408,10.1,2.1,1,1,0.3,4.9,0.2,1.2
1630560,Cam,Thomas,28,34,24,23,0.452,8.8,2.4,1.2,0.5,0.1,4.4,0.2,0.8
1629661,Cameron,Johnson,48,12,39,30,0.8,12.8,4.1,1.5,0.8,0.2,4.8,0.2,0.6
1630787,Cameron,McGriff,0,3,14,17,0,4.7,5,1,0,0.3,3,0,0
1628419,Cameron,Oliver,1,1,10,14,0.5,11.5,3,1.5,0.5,0.5,2.5,0.5,0
1626166,Cameron,Payne,44,9,10,12,0.83,11.1,2.9,4.8,0.7,0.3,6.1,0.3,1.8
1627747,Caris,LeVert,21,30,17,42,0.412,17.2,3.6,4.2,0.9,0.4,8.5,0.8,1.9
1630637,Carlik,Jones,3,2,11,14,0.6,0.8,0.6,1,0.2,0,1.6,0,0.6
2546,Carmelo,Anthony,27,38,1,8,0.415,13.5,4.2,1,0.7,0.8,5.8,0.4,0.9
1630199,Cassius,Stanley,3,6,10,31,0.333,5.8,2.1,0.4,0.6,0.2,3,0,0.7
1630216,Cassius,Winston,1,4,14,22,0.2,2,0,1,0,0,0.6,0,0.2
1627760,Cat,Barber,0,3,25,35,0,0,1,1,0,0,1.3,1.3,0.3
1626224,Cedi,Osman,35,25,12,10,0.583,10.7,2.1,2,0.8,0.1,5.2,0.6,1
1628990,Chandler,Hutchison,4,2,49,21,0.667,0.7,0.8,0.3,0,0,0.1,0,0.7
1629646,Charles,Bassey,11,12,8,7,0.478,3,2.7,0.3,0.2,0.7,0.7,0.1,0.3
1629718,Charlie,Brown,16,5,12,29,0.762,1.4,1.5,0.3,0.5,0.2,1.4,0.1,0.2
1630602,Chaundee,Brown,1,4,15,30,0.2,6.2,3.2,0.8,0.4,0,4.4,0.2,0.2
1627767,Cheick,Diallo,0,3,34,29,0,3.7,4,0,0.3,0,1.7,0.3,0.3
1629002,Chimezie,Metu,20,34,30,39,0.37,8.7,5.4,1.1,0.8,0.5,4.1,0.3,1
1628449,Chris,Boucher,43,30,26,26,0.589,9.4,6.2,0.3,0.6,0.9,3.7,0.6,0.5
1629185,Chris,Chiozza,21,13,21,27,0.618,2,1.1,1.9,0.4,0,1.7,0,0.9
1630537,Chris,Duarte,21,34,13,34,0.382,13.1,4.1,2.1,1,0.2,6.4,0.4,1.6
101108,Chris,Paul,50,10,18,42,0.833,15,4.5,10.8,1.8,0.3,5.8,0.5,2.4
1629735,Chris,Silva,7,3,25,38,0.7,2.6,3.6,0.7,0,0.1,0.7,0.2,0.8
1626174,Christian,Wood,19,49,6,12,0.279,17.9,10.1,2.3,0.8,1,6.4,1.9,1.9
1629643,Chuma,Okeke,19,45,16,26,0.297,8.5,4.8,1.7,1.4,0.6,5.1,0.2,0.8
203991,Clint,Capela,35,32,28,29,0.522,10.9,11.8,1.3,0.7,1.3,3.3,1.2,0.6
1629632,Coby,White,30,25,13,22,0.545,12.9,3,2.9,0.5,0.2,5.9,0.2,1.1
1628998,Cody,Martin,37,28,6,25,0.569,7.7,4,2.5,1.2,0.5,3.2,0.5,0.9
203469,Cody,Zeller,13,14,4,4,0.481,5.2,4.6,0.8,0.3,0.2,1.4,0.4,0.7
1630175,Cole,Anthony,18,44,24,15,0.29,16.8,5.5,5.8,0.7,0.3,8.8,0.6,2.7
1629012,Collin,Sexton,7,4,39,28,0.636,16,3.3,2.1,0.9,0,7.5,0.9,2.8
1630557,Corey,Kispert,28,41,28,29,0.406,7.9,2.6,1,0.4,0.3,3.5,0.1,0.6
202709,Cory,Joseph,18,45,14,32,0.286,8.1,2.7,3.7,0.6,0.3,3.3,0.2,1.3
1628591,Craig,Sword,1,2,31,23,0.333,2,0,0.3,1.3,0,0.3,0,0.3
1626156,D'Angelo,Russell,37,24,21,9,0.607,18,3.4,7.1,0.9,0.4,8.8,0.6,2.5
201571,D.J.,Augustin,13,34,28,37,0.277,5.6,1.2,2,0.3,0,2.2,0.1,1.1
1628391,D.J.,Wilson,2,2,29,22,0.5,7.5,4,1.3,1.3,0.3,1,0.5,0.5
1629610,DaQuan,Jeffries,3,0,46,23,1,0.7,0.7,0.3,0,0,0.4,0,0
1630227,Daishen,Nix,3,16,3,3,0.158,3.4,1.4,1.6,0.7,0,1.3,0.4,0.9
1629751,Dakota,Mathias,5,1,8,28,0.833,1,0.3,0.2,0.2,0,0.7,0,0
1630625,Dalano,Banton,35,27,37,13,0.565,3.2,2,1.6,0.4,0.2,1.9,0.3,0.9
1627745,Damian,Jones,16,34,16,39,0.32,6.9,4,1.1,0.4,0.7,1.5,0.6,1
203081,Damian,Lillard,12,17,18,36,0.414,24,4.1,7.3,0.6,0.4,11.3,0.7,2.9
1627814,Damion,Lee,37,22,5,13,0.627,7.4,3.2,1,0.6,0.1,3.4,0.2,0.6
1628422,Damyean,Dotson,1,1,8,22,0.5,2,1,0.5,0,0,1,0,0
1629655,Daniel,Gafford,27,37,29,28,0.422,9.1,5.7,1,0.4,1.4,1.7,0.5,1
1630187,Daniel,Oturu,1,2,24,34,0.333,3,1.7,0,0,0.7,1,0.7,0
1628464,Daniel,Theis,16,25,12,11,0.39,7.4,4.8,0.8,0.5,0.7,2.9,0.5,1
201568,Danilo,Gallinari,31,30,27,25,0.508,11.4,4.6,1.5,0.4,0.2,5,0.3,0.5
201980,Danny,Green,32,22,37,20,0.593,5.8,2.4,1,0.9,0.6,3.2,0,0.7
